"product_category_name","ranking","seller_id","seller_city","seller_state","total_ordenes","precio_promedio","costo_envio_promedio"
papelaria,4,dbc22125167c298ef99da25668e1011f,borda da mata,MG,88,64.86,17.91
papelaria,5,aba1721a889e04decc910aa13b768ef4,sao paulo,SP,77,153.27,13.53
papelaria,6,b561927807645834b59ef0d16ba55a24,sao paulo,SP,72,46.07,13.77
papelaria,7,de23c3b98a88888289c6f5cc1209054a,sao paulo,SP,68,145.72,15.07
papelaria,8,"2a84855fd20af891be03bc5924d2b453",belo horizonte,MG,66,74.61,16.6
papelaria,9,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,46,51.06,16.39
papelaria,10,"3586b8580d9c917874e053a1bb37b5ff",araraquara,SP,33,34.45,19.0
pcs,1,"53243585a1d6dc2643021fd1853d8905",lauro de freitas,BA,146,1090.67,46.56
pcs,2,"7681ef142fd2c19048da7430856b5588",guarulhos,SP,26,687.78,47.38
perfumaria,1,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,631,60.92,13.79
perfumaria,2,"620c87c171fb2a6dd6e8bb4dec959fc6",petropolis,RJ,369,189.45,17.01
perfumaria,3,fe2032dab1a61af8794248c8196565c9,campinas,SP,291,215.01,15.45
perfumaria,4,"3c7c4a49ec3c6550809089c6a2ca9370",sao paulo,SP,141,25.21,11.4
perfumaria,5,"17e34d8224d27a541263c4c64b11a56b",riberao preto,SP,135,178.6,17.52
perfumaria,6,ef0ace09169ac090589d85746e3e036f,sao goncalo,RJ,110,117.97,16.21
perfumaria,7,"289cdb325fb7e7f891c38608bf9e0962",belo horizonte,SP,104,108.9,16.82
perfumaria,8,"0c7533c71df861ec58ad7ff999ed0e8d",valinhos,SP,61,40.95,11.98
perfumaria,9,"058fd0aa2bfdb2274e05e1ae971dabb6",santo andre,SP,60,119.49,13.84
perfumaria,10,"2dee2ce60de9709b1a24083217181a1f",sinop,MT,54,141.54,37.46
pet_shop,1,"66922902710d126a0e7d26b0e3805106",belo horizonte,MG,151,92.07,20.63
pet_shop,2,"5cf13accae3222c70a9cac40818ae839",patos de minas,MG,148,92.09,19.15
pet_shop,3,f45122a9ab94eb4f3f8953578bc0c560,piracicaba,SP,130,131.39,17.31
pet_shop,4,dd7ddc04e1b6c2c614352b383efe2d36,sao paulo,SP,104,65.18,20.55
