"product_category_name","ranking","seller_id","seller_state","ordenes_vendedor","precio_promedio_vendedor","porcentaje_demanda"
moveis_sala,4,"870d0118f7a9d85960f29ad89d5d989a",MG,37,42.35,8.77
moveis_sala,5,cf2384dd2f1dddea3f838efed0945e65,SP,15,129.44,3.55
musica,1,"039b29ff3b3473435d0cd59040575de9",SP,5,15.86,13.16
musica,2,"7681ef142fd2c19048da7430856b5588",SP,5,220.0,13.16
musica,3,"522620dcb18a6b31cd7bdf73665113a9",PR,4,329.0,10.53
musica,4,"1bb2bdb95f4841f1bba2c0d2cd83d3c9",SP,3,24.97,7.89
musica,5,"3d4824f20035949c710eaf111f869d39",SP,3,35.6,7.89
papelaria,1,"3d871de0142ce09b7081e2b9d1733cb1",SP,792,96.08,34.27
papelaria,2,"2c9e548be18521d1c43cde1c582c6de8",SP,97,29.58,4.2
papelaria,3,b2ba3715d723d245138f291a6fe42594,SP,88,163.65,3.81
